"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"Wolf_Sheep_Predation_simpler.nlogox"
"experiment_100_100"
"08/04/2026 16:42:36:583 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","wolf-reproduce","sheep-reproduce","grass-regrowth-time","[step]","land_with_grass","count sheep","count wolves"
"480","10","12","250","116","47.097270280661284","0","0"
"455","10","10","175","1500","23.260284505959245","43","0"
"458","10","10","200","1500","54.74817377931565","55","0"
"467","10","12","150","1122","38.79277201076509","0","0"
"462","10","10","225","1500","52.210688196847364","58","0"
"479","10","12","250","448","13.917723952326028","0","0"
"486","10","14","175","146","52.63360246059208","0","0"
"476","10","12","225","729","17.91618608227605","0","0"
"485","10","14","175","341","11.764705882352942","0","0"
"489","10","14","200","85","43.44482891195694","0","0"
"490","10","14","225","91","39.36947327950788","0","0"
"487","10","14","200","373","9.265667051134178","0","0"
"491","10","14","225","119","47.635524798154556","0","0"
"468","10","12","150","1500","33.333333333333336","23","0"
"471","10","12","175","1500","30.98808150711265","42","0"
"492","10","14","225","71","45.63629373317955","0","0"
"493","10","14","250","110","44.09842368319877","0","0"
"469","10","12","175","1500","32.564398308342945","33","0"
"494","10","14","250","107","44.7520184544406","0","0"
"495","10","14","250","153","50.90349865436371","0","0"
"500","10","16","175","83","52.8642829680892","0","0"
"502","10","16","200","153","56.055363321799305","0","0"
"498","10","16","150","319","23.913879277201076","0","0"
"474","10","12","200","1500","40.52287581699346","31","0"
"504","10","16","200","76","46.40522875816993","0","0"
"503","10","16","200","110","51.2879661668589","0","0"
"506","10","16","225","81","37.63936947327951","0","0"
"505","10","16","225","130","54.51749327181853","0","0"
"484","10","14","175","1310","23.68319876970396","0","0"
"482","10","14","150","1465","17.91618608227605","0","0"
"509","10","16","250","243","59.24644367550942","0","0"
"510","10","16","250","144","50.249903883121874","0","0"
"507","10","16","225","391","15.955401768550557","0","0"
"483","10","14","150","1471","46.21299500192234","0","0"
"488","10","14","200","1240","28.489042675893888","0","0"
"511","10","18","150","78","51.59554017685505","0","0"
"508","10","16","250","440","13.610149942329873","0","0"
"515","10","18","175","91","46.866589773164165","0","0"
"517","10","18","200","82","45.36716647443291","0","0"
"501","10","16","175","954","35.6401384083045","0","0"
"518","10","18","200","133","54.248366013071895","0","0"
"519","10","18","200","105","44.40599769319493","0","0"
"520","10","18","225","87","43.82929642445213","0","0"
"521","10","18","225","105","45.213379469434834","0","0"
"522","10","18","225","93","48.01999231064975","0","0"
"514","10","18","175","326","9.88081507112649","0","0"
"524","10","18","250","91","39.715494040753555","0","0"
"523","10","18","250","101","42.63744713571703","0","0"
"516","10","18","175","344","7.343329488658209","0","0"
"530","10","20","175","109","52.59515570934256","0","0"
"528","10","20","150","153","71.39561707035756","0","0"
"512","10","18","150","541","15.494040753556325","0","0"
"531","10","20","175","77","46.71280276816609","0","0"
"481","10","14","150","1500","49.673202614379086","40","0"
"532","10","20","200","85","40.407535563244906","0","0"
"529","10","20","175","272","7.804690503652441","0","0"
"497","10","16","150","1500","26.220684352172242","87","0"
"496","10","16","150","1500","49.288735101883894","15","0"
"525","10","18","250","431","11.610918877354864","0","0"
"534","10","20","200","121","54.325259515570934","0","0"
"536","10","20","225","77","38.75432525951557","0","0"
